"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Vijayanagaram","Bobbili","Cashew Kernnel","Cashew Kernnel","21/07/2011","9700","10000","9800"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","02/01/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","03/01/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/01/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","05/01/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","07/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","09/01/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","12/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","13/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","14/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","16/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","17/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","18/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","19/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","20/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","21/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","23/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","24/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","25/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","26/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","27/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","28/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","30/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","31/01/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","01/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","02/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","03/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","07/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","08/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","09/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","10/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","11/02/2011","37500","38500","38000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","13/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","14/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","15/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","16/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","17/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","18/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","20/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","21/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","22/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","23/02/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","24/02/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","25/02/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","27/02/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","28/02/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","01/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","02/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","03/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","07/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","08/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","09/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","10/03/2011","34500","35500","35000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","11/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","13/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","14/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","15/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","16/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","17/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","18/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","20/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","21/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","22/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","23/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","24/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","25/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","27/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","28/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","29/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","30/03/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","31/03/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","01/04/2011","36500","37500","37000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","03/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","05/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","07/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","08/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","10/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","11/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","12/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","13/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","14/04/2011","35500","36500","36000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","15/04/2011","35500","36500","36000"
