state,district,market,commodity,variety,Arrival_Date,min_price,max_price,Modal.Price
Kerala,Kollam,Punalur,Cashew Kernnel,Other,4/3/2010,14000,18000,16000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,1/7/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,2/7/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,4/7/2010,24000,24500,24200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,5/7/2010,24000,24500,24200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,6/7/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,7/7/2010,24600,25500,25000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,8/7/2010,24500,25500,25000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,9/7/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,11/7/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,12/7/2010,24000,24500,24200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,13/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,14/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,15/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,16/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,18/07/2010,24600,25500,25000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,19/07/2010,24600,25500,25000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,20/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,22/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,23/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,25/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,26/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,27/07/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,28/07/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,29/07/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,30/07/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,1/8/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,2/8/2010,26000,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,3/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,4/8/2010,24600,25500,25000
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,5/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,6/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,8/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,9/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,10/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,11/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,12/8/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,13/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,15/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,16/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,17/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,18/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,19/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,20/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,22/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,23/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,24/08/2010,26500,27500,27200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,25/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,26/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,27/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,29/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,30/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,31/08/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,1/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,2/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,3/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,5/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,6/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,8/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,9/9/2010,28500,29500,29200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,10/9/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,12/9/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,13/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,14/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,15/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,16/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,17/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,19/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,20/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,21/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,22/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,23/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,24/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,26/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,27/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,28/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,29/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,30/09/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,1/10/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,3/10/2010,27500,28500,28200
West Bengal,Medinipur(E),Egra/contai,Cashew Kernnel,Cashewnut,4/10/2010,27500,28500,28200
