YEAR,State,District,Tehsil,SlNo,SizeClass,area_avail,irr_ar,unirr_ar,total_ar
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,22177,21,2455,2476
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,13000,23,2804,2827
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,16195,42,5587,5629
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,11221,48,4462,4510
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,7851,40,4189,4229
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,5098,19,2709,2728
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,6707,46,5271,5317
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,3322,18,2797,2815
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,2949,26,3598,3624
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,376,136,1272,1408
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13492,31,1923,1954
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5855,16,2588,2604
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,8146,12,4058,4070
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,4554,4,3786,3790
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,4475,8,4818,4826
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2815,7,3956,3964
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2655,17,4098,4115
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,741,1,1486,1488
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,418,4,1065,1069
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,271,0,2475,2475
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,34907,4310,2633,6943
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,11185,6055,1399,7454
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,8457,10753,835,11589
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3703,8250,488,8738
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1883,6055,227,6281
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1062,4519,87,4606
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1236,7229,139,7369
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,467,3786,114,3900
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,408,5012,293,5305
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,63,1712,240,1952
