Crop,Arrival_Date,Modal.Price
PADDY,2003,550
JOWAR,2003,505
BAJRA,2003,505
MAIZE,2003,505
RAGI,2003,505
ARHAR(Tur),2003,1360
MOONG,2003,1370
GROUNDNUT,2003,1400
SUNFLOWER,2003,1250
SOYABEEN,2003,840
SESAMUM,2003,1485
NIGERSEED,2003,1155
PADDY,2004,560
JOWAR,2004,515
BAJRA,2004,515
MAIZE,2004,525
RAGI,2004,515
ARHAR(Tur),2004,1390
MOONG,2004,1410
GROUNDNUT,2004,1500
SUNFLOWER,2004,1340
SOYABEEN,2004,900
SESAMUM,2004,1500
NIGERSEED,2004,1180
PADDY,2005,570
JOWAR,2005,525
BAJRA,2005,525
MAIZE,2005,540
RAGI,2005,525
ARHAR(Tur),2005,1400
MOONG,2005,1520
GROUNDNUT,2005,1520
SUNFLOWER,2005,1500
SOYABEEN,2005,900
SESAMUM,2005,1550
NIGERSEED,2005,1200
PADDY,2006,580
JOWAR,2006,540
BAJRA,2006,540
MAIZE,2006,540
RAGI,2006,540
ARHAR(Tur),2006,1410
MOONG,2006,1520
GROUNDNUT,2006,1520
SUNFLOWER,2006,1500
SOYABEEN,2006,900
SESAMUM,2006,1560
NIGERSEED,2006,1220
PADDY,2007,700
JOWAR,2007,600
BAJRA,2007,600
MAIZE,2007,620
RAGI,2007,600
ARHAR(Tur),2007,1550
MOONG,2007,1700
GROUNDNUT,2007,1550
SUNFLOWER,2007,1510
SOYABEEN,2007,910
SESAMUM,2007,1580
NIGERSEED,2007,1240
PADDY,2008,850
JOWAR,2008,840
BAJRA,2008,840
MAIZE,2008,840
RAGI,2008,915
ARHAR(Tur),2008,2000
MOONG,2008,2520
GROUNDNUT,2008,2100
SUNFLOWER,2008,2215
SOYABEEN,2008,1350
SESAMUM,2008,2750
NIGERSEED,2008,2405
PADDY,2009,950
JOWAR,2009,840
BAJRA,2009,840
MAIZE,2009,840
RAGI,2009,915
ARHAR(Tur),2009,2300
MOONG,2009,2520
GROUNDNUT,2009,2100
SUNFLOWER,2009,2215
SOYABEEN,2009,1350
SESAMUM,2009,2850
NIGERSEED,2009,2405
PADDY,2010,1000
JOWAR,2010,880
BAJRA,2010,880
MAIZE,2010,880
RAGI,2010,965
ARHAR(Tur),2010,3000
MOONG,2010,2900
GROUNDNUT,2010,2300
SUNFLOWER,2010,2350
SOYABEEN,2010,1400
SESAMUM,2010,2900
NIGERSEED,2010,2450
PADDY,2011,1080
JOWAR,2011,980
BAJRA,2011,980
MAIZE,2011,980
RAGI,2011,1050
ARHAR(Tur),2011,3200
MOONG,2011,3300
GROUNDNUT,2011,2700
SUNFLOWER,2011,2800
SOYABEEN,2011,1650
SESAMUM,2011,3400
NIGERSEED,2011,2900
PADDY,2012,1250
JOWAR,2012,1500
BAJRA,2012,1175
MAIZE,2012,1175
RAGI,2012,1500
ARHAR(Tur),2012,3850
MOONG,2012,4300
GROUNDNUT,2012,3700
SUNFLOWER,2012,3700
SOYABEEN,2012,2200
SESAMUM,2012,4200
NIGERSEED,2012,3500
PADDY,2013,1310
JOWAR,2013,1500
BAJRA,2013,1250
MAIZE,2013,1310
RAGI,2013,1500
ARHAR(Tur),2013,4300
MOONG,2013,4300
GROUNDNUT,2013,4000
SUNFLOWER,2013,3700
SOYABEEN,2013,2500
SESAMUM,2013,4500
NIGERSEED,2013,3500
PADDY,2014,1360
JOWAR,2014,1530
BAJRA,2014,1250
MAIZE,2014,1310
RAGI,2014,1550
ARHAR(Tur),2014,4350
MOONG,2014,4350
GROUNDNUT,2014,4000
SUNFLOWER,2014,3750
SOYABEEN,2014,2500
SESAMUM,2014,4600
NIGERSEED,2014,3600
PADDY,2015,1410
JOWAR,2015,1570
BAJRA,2015,1275
MAIZE,2015,1325
RAGI,2015,1650
ARHAR(Tur),2015,4425
MOONG,2015,4425
GROUNDNUT,2015,4030
SUNFLOWER,2015,3800
SOYABEEN,2015,2300
SESAMUM,2015,4700
NIGERSEED,2015,3650
PADDY,2016,1470
JOWAR,2016,1625
BAJRA,2016,1330
MAIZE,2016,1365
RAGI,2016,1725
ARHAR(Tur),2016,4625
MOONG,2016,4575
GROUNDNUT,2016,4120
SUNFLOWER,2016,3850
SOYABEEN,2016,2300
SESAMUM,2016,4800
NIGERSEED,2016,3725
