"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Kollam","Punalur","Cashew Kernnel","Other","04/03/2010","14000","18000","16000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","01/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","02/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/07/2010","24000","24500","24200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","05/07/2010","24000","24500","24200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","07/07/2010","24600","25500","25000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","08/07/2010","24500","25500","25000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","09/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","11/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","12/07/2010","24000","24500","24200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","13/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","14/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","15/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","16/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","18/07/2010","24600","25500","25000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","19/07/2010","24600","25500","25000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","20/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","22/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","23/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","25/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","26/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","27/07/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","28/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","29/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","30/07/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","01/08/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","02/08/2010","26000","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","03/08/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","04/08/2010","24600","25500","25000"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","05/08/2010","26500","27500","27200"
"West Bengal","Medinipur(E)","Egra/contai","Cashew Kernnel","Cashewnut","06/08/2010","26500","27500","27200"
