YEAR,CROP,STATE,DISTRICT,TEHSIL,SIZE_CLASS,area_avail,irr_ar,unirr_ar,total_ar
1996,BANANA,MAHARASHTRA,RATNAGIRI,DAPOLI,30,11,1,0,1
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,346,13,7,20
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,1,274,17,11,28
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,2,341,34,511,545
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,3,156,24,7,31
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,4,157,32,4,36
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,5,96,7,14,21
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,7.5,113,28,413,441
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,10,86,14,16,30
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,20,71,24,8,32
1996,BETELNUTS(ARECANUTS),MAHARASHTRA,RATNAGIRI,DAPOLI,30,33,20,2,22
1996,BRINJAL,MAHARASHTRA,RATNAGIRI,DAPOLI,5,7,0,3,3
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,612,0,70,70
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,1,949,0,178,178
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1294,0,410,410
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,3,1160,0,440,440
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,4,933,0,561,561
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,5,651,0,409,409
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,7.5,807,0,663,663
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,10,423,0,358,358
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,20,437,0,692,692
1996,CASHEW,MAHARASHTRA,RATNAGIRI,DAPOLI,30,54,0,75,75
1996,CHIKU,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,7,0,0,0
1996,CHIKU,MAHARASHTRA,RATNAGIRI,DAPOLI,30,5,0,6,6
1996,CHILLIES,MAHARASHTRA,RATNAGIRI,DAPOLI,3,8,0,0,0
1996,CHILLIES,MAHARASHTRA,RATNAGIRI,DAPOLI,4,9,0,0,0
1996,CHILLIES,MAHARASHTRA,RATNAGIRI,DAPOLI,30,5,0,0,0
1996,CITRUS FRUITS,MAHARASHTRA,RATNAGIRI,DAPOLI,1,14,3,0,3
1996,CITRUS FRUITS,MAHARASHTRA,RATNAGIRI,DAPOLI,3,8,4,0,4
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,262,6,22,28
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,1,119,3,10,13
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,2,157,3,31,34
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,3,73,3,8,11
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,4,86,7,7,14
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,5,42,4,17,21
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,7.5,80,9,5,14
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,10,60,4,6,10
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,20,48,2,75,77
1996,COCONUT,MAHARASHTRA,RATNAGIRI,DAPOLI,30,16,115,3,118
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,1834,0,259,259
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,1,1829,0,606,606
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,2,2695,0,1390,1390
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2005,0,1404,1404
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,4,1379,0,1169,1169
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,5,890,0,750,750
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,7.5,1261,0,1662,1662
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,10,587,0,1031,1031
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,20,535,0,1342,1342
1996,FODDER & GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,30,33,0,643,643
1996,GARLIC,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,0,1,1
1996,GRAPES,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,1,0,0,0
1996,GRAPES,MAHARASHTRA,RATNAGIRI,DAPOLI,2,7,1,0,1
1996,GRAPES,MAHARASHTRA,RATNAGIRI,DAPOLI,3,8,1,0,1
1996,GRAPES,MAHARASHTRA,RATNAGIRI,DAPOLI,4,2,1,0,1
1996,GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,0.5,28,0,3,3
1996,GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,1,29,0,5,5
1996,GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,2,21,0,8,8
1996,GREEN MANURES,MAHARASHTRA,RATNAGIRI,DAPOLI,3,20,0,7,7
