YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,Wholly_Irrigated_Holdings_no.,Wholly_Irrigated_Holdings_ar,Wholly_Unirrigated_Holdings_no.,Wholly_Unirrigated_Holdings_ar,Partly_Irrigated_Holdings_no,Partly_Irrigated_Holdings_ar,Partly_irr_ar,net_irr_num,net_irr_area
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,222,13,15257,2018,67,7,4,289,17
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,7,0,5942,2363,136,55,13,143,13
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,7,3,6356,4331,155,133,29,162,32
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,0,0,3590,3832,91,139,34,91,34
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,0,0,2225,3364,77,130,26,77,26
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,0,0,1354,2204,56,131,16,56,16
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,0,0,1840,4276,88,247,36,88,36
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,0,0,831,2520,34,151,18,34,18
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,0,0,701,3208,40,232,23,40,23
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,5,117,60,1057,27,216,19,32,136
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,316,26,12287,1902,67,14,5,383,31
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,35,12,5347,2554,40,22,4,75,16
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,0,0,7260,4011,65,39,12,65,12
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,0,0,3748,3738,43,38,4,43,4
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,0,0,3855,4760,36,57,8,36,8
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,0,0,2337,3908,31,40,7,31,7
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,0,0,2138,3971,27,95,17,27,17
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,0,0,597,1455,8,21,1,8,1
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,0,0,305,1022,7,38,4,7,4
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,0,0,208,2475,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,18300,4310,7888,1326,0,0,0,18300,4310
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,8513,6055,1077,719,0,0,0,8513,6055
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,7609,10753,326,428,0,0,0,7609,10753
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,3397,8250,111,250,0,0,0,3397,8250
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,1767,6055,37,113,0,0,0,1767,6055
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,1022,4519,14,43,0,0,0,1022,4519
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,1202,7229,17,84,0,0,0,1202,7229
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,446,3786,10,57,0,0,0,446,3786
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,376,5012,13,147,0,0,0,376,5012
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,59,1712,2,120,0,0,0,59,1712
