YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,wells_Electric,well_Diesel,Total_Pumps,well_without_pump,wells_not_use,tubewel_e,tubewel_d,tubewells
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,306,50,356,121,36,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,14,7,21,27,7,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,35,60,95,37,0,52,62,114
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,24,0,24,8,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,26,0,26,9,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,20,0,20,7,7,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,16,0,16,24,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,17,0,17,17,17,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,32,0,32,32,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,44,0,44,11,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,377,0,377,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,71,0,71,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,65,0,65,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,43,0,43,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,36,0,36,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,31,0,31,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,18,0,18,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,8,0,8,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,5,0,5,0,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,0,28,28,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,0,0,0,0,0,0,16,16
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,0,0,0,0,0,0,0,0
