YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,Gr_irr_ar,Gr_unirr_ar,Gross_total_ar
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,21,2455,2476
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,23,2804,2827
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,42,5587,5629
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,48,4462,4510
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,40,4189,4229
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,19,2709,2728
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,46,5271,5317
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,18,2797,2815
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,26,3598,3624
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,136,1272,1408
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,31,1923,1954
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,16,2588,2604
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,12,4058,4070
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,4,3786,3790
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,8,4818,4826
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,7,3956,3964
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,17,4098,4115
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,1,1486,1488
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,4,1065,1069
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,0,2475,2475
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,4310,2633,6943
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,6055,1399,7454
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,10753,835,11589
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,8250,488,8738
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,6055,227,6281
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,4519,87,4606
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,7229,139,7369
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,3786,114,3900
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,5012,293,5305
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,1712,240,1952
