YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,canal_hd,canal_ar,tank_hd,tank_ar,well_hd,well_ar,tubewel_hd,tubewel_ar,other_hd,other_ar,irri_hd,nt_irri_ar
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,89,7,7,0,180,9,7,0,7,0,289,17
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,102,10,0,0,20,1,0,0,20,2,143,13
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,120,22,0,0,42,9,0,0,14,2,162,32
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,67,16,0,0,16,18,0,0,8,0,91,34
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,51,17,9,4,34,5,0,0,0,0,77,26
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,40,13,9,1,13,2,0,0,7,0,56,16
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,56,30,0,0,24,4,0,0,16,1,88,36
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,9,13,0,0,0,0,0,0,26,5,34,18
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,32,15,8,8,8,1,0,0,0,0,40,23
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,16,12,5,2,5,117,0,0,5,5,32,136
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,0,0,6,0,377,31,0,0,0,0,383,31
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,0,0,0,0,71,15,0,0,4,1,75,16
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,0,0,0,0,65,12,0,0,0,0,65,12
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,4,0,0,0,35,4,0,0,4,0,43,4
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,7,1,0,0,29,7,0,0,0,0,36,8
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,0,0,0,0,31,7,0,0,0,0,31,7
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,0,0,0,0,27,17,0,0,0,0,27,17
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,0,0,0,0,8,1,0,0,0,0,8,1
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,0,0,0,0,7,4,0,0,0,0,7,4
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,0,0,0,0,0,0,0,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,3204,663,0,0,15096,3647,0,0,0,0,18300,4310
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,1058,696,0,0,7450,5355,0,0,5,3,8513,6055
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,675,871,0,0,6935,9882,0,0,0,0,7609,10753
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,282,622,0,0,3115,7628,0,0,0,0,3397,8250
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,145,481,0,0,1622,5574,0,0,0,0,1767,6055
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,73,299,0,0,949,4220,0,0,0,0,1022,4519
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,74,435,0,0,1128,6794,0,0,0,0,1202,7229
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,20,162,0,0,427,3624,0,0,0,0,446,3786
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,15,179,0,0,362,4832,0,0,0,0,376,5012
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,5,145,0,0,54,1567,0,0,0,0,59,1712
